State/Province ,City ,Zip Code,Climate Zone ,Project Name,Type of Geothermal System ,Site Type ,Size/Capacity,Project Status ,Users ,# of Households Served,# of Population Served,Buildings Connected ,Design Heating Load ,Design Cooling Load ,"Building Details (For each type of building): Renovated building? If yes, previous heating/cooling system used. ",Heat Pump/Heat Exchanger Unit ,Thermal Resources Details: ,Distribution System Details: ,Backup Generation,Ownership Model,$ Cost ,Funding Sources,"Subscription Information (Hookups, fees, rates) ",Emissions Savings (GHG) ,Operational Successes ,Additional Information,Site Contact,Referenced Sources,Other Notes (Not for publishing)
Michigan,Ann Arbor ,,,City of Ann Arbor ,5GDHC ,Community,262 buildings.,Pre Construction: Feasibility Studies began 2022. Design began 2024. ,Mixed: 262 residential buildings and 6 commercial buildings ,262,"120,000",268,13.6 MMBtu/hr ,9.26 MMBtu/hr ,"Yes. Homes were originally constructed in the 1960s and early 1970s, faced poor insulation, leaky windows, and outdated appliances. Gas boiler heating system, unspecified for cooling.",GSHPs. ,TBD. ,TBD. ,,Municipal utility ,"Entire project estimate: $34, 396, 815. Unspecified if this also accounts for building rennovations. ",,TBD. ,Anticpated 40% reduction in GHG emissions. ,Anticipated reduction of thermal heating and cooling loads by 75%. ,"For the building renovations and home appliance upgrades, the cost significantly decreased due to accessible grants. For one resident, the work cost of $55,000 decreased to $0 and utility bills dropped frm $200 to $25. This has not yet accounted for connection to the network, or the installation of a GSHP system. The idea of installing a geothermal network was a pursued in part of the Ann Arbor's climate agenda: A2ZERO, the city's plan for a just transition to carbon neutrality by 2030. Neighborhood decarbonization had already been occuring in Bryant through the form of individual building renovations. Then, as the municipality was considering electrically powered ASHPs for cooling, they stumbled upon GENs. ","Joe Lange, Senior Energy Analyst at City of Ann Arbor, jlange@a2gov.org","1. Building Decarbonization Coalition: Case Study for Ann Arbor, Michigan  2. Open EI: Community Geothermal, Energy, Cost, and Carbon Modeling for District Design - Ann Arbor Michigan 3.  City of Ann Arbor Government Website: Geothermal Heating and Cooling ",Has great open source data for energy modeling for technical assessment: https://data.openei.org/submissions/7671
Minnesota,Rochester ,,,City of Rochester ,5GDHC ,Government/municipal building ,"4 buildings, over 1 million square feet ",Construction: Individual building renovations began 2023. Construction for TENs is occuring.,N/A ,N/A ,N/A ,"4, planned. ",Unknown,Unknown,Yes. Gas heating system. ,GSHPs. ,Two boreholes to provide heating for the City Hall. Unknown if additional thermal resources will be added for the network. ,Unknown ,Natural gas. ,Public Utility (Rochester Public Utilities) ,$32M ,Unknown. Project was not eligible for general obligation bonds to maintain future private connections. ,N/A ,Unknown,Unknown,"The City of Rochester pursued this decarbonzation project after learning that the County steam line had reached the end of its useful life and would be decommissioned in October of 2023, which pushed them to implement a new strategy to heat and cool buildings. For future developments, the network can serve future developments on nearby private land. The City is also looking into potential green job training opportunities with renewable technologies and in building/energy efficiency operations. The City pursued geothermal developments through partnering with Darcy Solutions, a local business that had specialized in geothermal technology before. ",Former Rochester Sustainability and Housing Authority Manager: kevinbright@dmceda.org,"1. Rochester, Minnesota: A Model for Making Geothermal Energy Work in a City Context (2024) 2. Geothermal District Energy System Rochester 3.  City of Rochester - News & Announcements ",
Montana,Bozeman ,,,Montana State University ,5GDHC ,College campus ,"8 buildings, 650,000 square feet. Planned to expand to two new buildings in 2024-2025. ","Operating. First building, Leon Johnson Hall, originally built in 1976 was retrofitted in 2007 to include a geothermal heat pump. In 2011, the University constructed its first campus energy district. In 2017, a separate energy district was developed in the south area of campus. ",Commercial ,N/A ,N/A ,8 (2025) ,N/A ,N/A ,Yes. Natural gas-fired steam heating plant was used for heating. ,GSHPs. ,"Total 264 boreholes, 500-700 feet deep, 7in diameter. ",5G ambient loop. ,Unknown.,University/College,"Costs as of 2025 are unknown. In 2020, $2.5M on a geothermal system for Romney Hall. In 2025, MSU announced $50.5M worth of energy efficiency work, of which $3.5M was on piping upgrades for the network and boreholes. ",Univeristy major infrastructure and energy improvement reserves. Fees tied to room and board and other services MSU charges are used to fund the project. ,N/A ,"Total emissions savings unknown. For the Romeny Hall geothermal project alone, the systems is anticipated to reduce MSU's associated carbon emissions by 1M pounds of CO2 per year. ","For buildings connected to the geothermal energy network, building energy use intensity decreased by 25% from 2007 to 2023. As for cost savings, the first campus energy district saves an average of $130,000 annually. ","MSU uses the geothermal heat pump system as a learning opportunitiy, inviting students on tours for the utility tunnels and building mechanical spaces to learn about energy systems. ","Megan James, megan.james2@montana.edu",1. US DOE Geothermal Heat Pump Case Study: MSU 2. Construction to begin on $2.5M geothermal system at MSU (2020) 3.  Montana State Plans $50.5M worth of energy efficiency work ,
New York,Branchport,,,Hunt Country Vineyards,5GDHC ,Commercial ,"3 building, 2,755 square feet ",Operating. Operation began 2015. ,Commercial ,N/A ,N/A ,3,"Total system capacity is 20-tons, or 240,000 Btu/hr",Unknown. ,"Yes. Pre-existing heating and cooling relied on a combination of propane, fuel oil, and electricity. ",GSHP system. 6 units. ,"1 borefield, 8 boreholes, 375 feet deep. ",Unknown,Unknown ,Private ,Unknown,"NYSERDA Grant: $102,000",N/A ,Unknown,"Approximately $10,000-$12,500 in annual propane/fuel oil/electricity bills. ",The building has also sought to install 348 PV panels to supply about 75% of the winery's electricity needs. They are also looking into using the geothermal system to chill wines. ,Vineyard Email:  info@huntwines.com,"1. Hunt Country Vineyards, Branchport, NY ",
New York,Brooklyn,,,Alafia (Phase 1),5GDHC ,Community,3 buildings.,"Construction Phase, expected to be complete in 2025. ",Mixed: residential and commercial,550+ ,N/A ,3,Total heating load unknown. System is anticipated to provide 100% of centralized domestic hot water (DHW) load for one building. ,Unknown.,No. ,"Two heat pump models are used: Piranha T15HC, which delivers all-electric decarbonized Domestic Hot Water (DHW) production from wastewater, and SHARC660 Wastewater Energy Transfer (WET), which provides a heat source/sink to offset and condition the buildings' geothermal loop. ","1 borefield, 90 boreholes. Also sources from wastewater streams. ",Unknown,Unknown,Public-private partnership ,$373M ,Unknown,Unknown,Unknown,"The design of the system, including waste water heat pumps, allowed for the number of planned boreholes to be reduced from 120 to 90. The modular design of the project also allows for scalable capacity as demand increases. ",N/A ,Vital Brooklyn Institute Contact Form ,"1. Alafia: Electrified, Affordable, Scalable Brooklyn NY 2.  Sharc Energy: Alafia, A Flagship for Equitable, Clean Energy Development in East New York",
New York,Troy,,,National Grid,5GDHC ,Community ,TBD. ,Design Phase ,Mixed: residential and commercial buildings.,TBD ,TBD ,TBD ,TBD ,TBD ,TBD ,TBD ,Borefield.,TBD ,TBD ,Owned by Troy Local Development Corporation. Thermal energy will be sold to the utility for resale to thermal energy customers. ,TBD ,TBD ,TBD ,Unknown,Unknown,N/A ,TBD ,"1. Upgrade NY, Nine Utility Thermal Energy Network Pilot Projects Advance, Moving New York Closer to Neighborhood-Scale Clean Heat and Cooling (2024)",
New York,Brooklyn ,,,National Grid,5GDHC ,Community,TBD. ,Design Phase ,Mixed: residential and commercial buildings. Includes buildings in the New York City Housing Authority (NYCHA) portfolio. ,TBD ,TBD ,TBD ,TBD ,TBD ,TBD ,TBD ,Borefield.,TBD ,TBD ,TBD ,TBD ,TBD ,TBD ,Unknown,Unknown,N/A ,TBD ,"1. Upgrade NY, Nine Utility Thermal Energy Network Pilot Projects Advance, Moving New York Closer to Neighborhood-Scale Clean Heat and Cooling (2024)",
New York,Mount Vernon ,,,Con Edison ,5GDHC ,Community,TBD. ,Design Phase ,"Mixed: residential, commercial, and religious buildings. Includes Disadvantaged Community. ",TBD ,TBD ,TBD ,TBD ,TBD ,TBD ,TBD ,Borefield.,TBD ,TBD ,TBD ,TBD ,TBD ,TBD ,Unknown,Unknown,Targets an area with leak-prone gas pipe. ,TBD ,"1. Upgrade NY, Nine Utility Thermal Energy Network Pilot Projects Advance, Moving New York Closer to Neighborhood-Scale Clean Heat and Cooling (2024)",
New York,Ithaca ,,,NYSEG,5GDHC ,Community,TBD. ,Design Phase ,Mixed: residential and commercial buildings.,TBD ,TBD ,TBD ,TBD ,TBD ,TBD ,TBD ,Open-loop ground water heat exchanger and waste heat. ,TBD ,TBD ,TBD ,TBD ,TBD ,TBD ,Unknown,Unknown,"The open-loop heat exchanger will be a case study for future systems, as it may have a lower cost than traditional geothermal boreholes. ",TBD ,"1. Upgrade NY, Nine Utility Thermal Energy Network Pilot Projects Advance, Moving New York Closer to Neighborhood-Scale Clean Heat and Cooling (2024)",
New York,Haverstraw,,,O&R ,5GDHC ,Community,TBD. ,Design Phase ,Mixed: residential and commercial buildings. Includes a Disadvantaged Community in the Lower Hudson Valley. ,TBD ,TBD ,TBD ,TBD ,TBD ,TBD ,TBD ,"Borefield, exploring sewer main heat recovery. ",TBD ,TBD ,TBD ,TBD ,TBD ,TBD ,Unknown,Unknown,"The project will be pursued in two stages, with two separate thermal energy networks that may be interconnected in the future as additional customers are added to the system. ",TBD ,"1. Upgrade NY, Nine Utility Thermal Energy Network Pilot Projects Advance, Moving New York Closer to Neighborhood-Scale Clean Heat and Cooling (2024)",
New York,Rochester,,,RG&E ,5GDHC ,"Community, anchored by office building. ",TBD. ,Design Phase ,Mixed: residential and commercial buildings. Includes a Disadvantaged Community in the Lower Hudson Valley. ,TBD ,TBD ,TBD ,TBD ,TBD ,TBD ,TBD ,Borefield.,TBD ,TBD ,TBD ,TBD ,TBD ,TBD ,Unknown,Unknown,N/A ,TBD ,"1. Upgrade NY, Nine Utility Thermal Energy Network Pilot Projects Advance, Moving New York Closer to Neighborhood-Scale Clean Heat and Cooling (2024)",
Oklahoma,Shawnee ,,,Oklahoma Baptist University Apartment Buildings ,5GDHC ,Residential building ,2 buildings,Operating. Operation began 2013.,Commercial,24,Unknown,2,Total 98 ton system capacity ,Unknown,No. Constructed with building in 2013. ,GSHP. 49 units. ,"1 borefield, 70 boreholes, 400 foot depth. ",N/A ,Unknown,Private,Unknown,Private investment ,N/A ,Unknown,Unknown,Geothermal system also includes energy recovery ventilator and internet-based energy management system.,"Developer, Comfortworks: (405) 455-8281",1. Comfortworks: Oklahoma Baptist University Apartment Buildings ,
Texas,Austin ,,,Whisper Valley,5GDHC ,Community,"800+ homes currently connected, expected 7,500 buildings total to be connected. ",Operating. Planning of Whisper Valley began in 2006. Operating since 2017. Phased expansion is still in continuation. ,Mixed,"800+, with plans to expand. ",Unknown,800+,Unknown,Unknown,"No, new developments. ","GSHPs. 1 heat pump system for each home, including a geothermal connection box and vertical U-loop on their property. ",Unknown. ,Unknown.,No centralized backup system. Homeowners can obtain backup batteries. ,Private ,Unknown. ,"Private investment. Initial construction is financed with industry-standard infrastructure debt. After the network is operational, transition towards long-term, permanent financing. The project is funded by specialized green infrastructure lenders like Locus impact and investors backed by insurance companies who ""appreciate the long-term... revenue"" ",$60/month,Unknown,"The cooling/heating costs are stable and predictable for homeowners, reducing potential financial strain. The development process, where 200 homes are built per phase of construction, allows the developer to utilize economies of scale to their benefit, reducing the cost of convential geothermal heating and cooling by 50% per home. ",Homeowners have recently raised concerns about costs for fixing the system (Sept. 2025),Whisper Valley Email: info@whispervalleyaustin.com,"1. Whisper Valley: How Our Innovative Geothermal Infrastructure Powers Zero Energy Capable Homes (2024) 2.  Geothermal energy keeps utility bills low in this Texas neighborhood (2025) 3. BDC Case Study: Whisper Valley, Texas ",
Utah,Ogden ,,,Weber State University,5GDHC ,College Campus ,Unknown. ,Operating. Installment of water-source Hybrid Variable Refrigerant Flow heat pump systems in campus buildings began in 2015. Borehole drilling began in 2016. ,Mixed ,Unknown,Unknown,"Unknown. 63 buildings in total, 37% VRF. ",Unknown,Unknown,"Yes. Natural-gas fired steam for heating, chilled water for cooling: systems existed since the 1960s. ",Variable refrigerant flow heat pumps. ,"3 borefields, total boreholes unknown, 200-400 foot depth. There is interest in expanding with an addition 1/2 borefields. ","1.5 miles of repurposed piping, originally constructed in the 1960s. ",Unknown.,University/College,"Total cost unknown. Construction for one borefield was $500,000.","As a part of WSU's Climate Action Plan, the college receives funding throuhg state capital improvement funds, internal capital development funds, state and federal grants, utility rebates, and WSU’s revolving green fund. WSU was one of the first university to set an investment fund for energy saving and water-use projects in 2009. The green fund of $5 million, the university’s cash management fund borrows from itself, runs the account into a deficit, then pays off the debt with annual energy savings and an additional 3% interest payment.",N/A ,"The emissions savings of the geothermal system specfically is unknown. In WSU's Climate Action Plan, the college has a vision to achieve carbon neutrality by 2040. ","Unknown, TBD.","The geothermal network is a part of WSU's Climate Action Plan. In addition to that project, WSU has minimized energy consumption with efficient windows, LED lighting, high insulation requirements, the installment of water-cooled ground-source VRF heat pumps, and energy recovery ventilation. Since 2009, the Unversity has recaptured over 21 million dollars in savings. ","Justin Owen, Sustainability Manager, 801-626-6421. Analeah Vaughn, Sustainability Engagement Coordinator, analeahvaughn@weber.edu	 ",1. Creating a More Sustainable College Campus with VRF Heat Pumps (2025) 2. WSU Digs 200 Deep-Water Wells to Help Save Energy (2016) 3.  Weber State Turns to Water-Source Hybrid VRF Technology (2025) 4. From Energy Savings to Carbon Neutrality: Exploring Weber State University's Sustainability Success (2023) 5. Weber State University Sustainability Map 6.  WSU's Climate Action Plan ,
Connecticut,Meriden,,,Meriden Housing Authority (Yale Acres?),"5GDHC, closed loop",Residential Community,"Three building district, plans to expand",Operating: Construction/Operation 2013,Residential,"3, to expand to 4",Not applicable,"3, soon to expand to 4",Unknown,Unknown,Yes. Previous HVAC unknown,Unknown,"1 field, 10 boreholes. No waste heat",Geothermal borehole field. Water. Unknown depth/length/diameter,,Privately owned by MHA,Unknown,Unknown,Unknown,Unknown,Unknown,Plan to expand from 4-building district to 49 buildings. Difficult to verify if occurred,"Rob Cappelletti: rcappelletti@meriden-ha.com, Jim Moran: jim@aeg.solutions",,
Florida,Apopka,,,Avian Pointe,"5GDHC, open loop",Residential,"Network, 7 buildings",Operating: Operation 2024,Residential,276,Unknown,7,Unknown,Unknown,"No, greenfield project",GSHP,Unknown,Unknown,,Private,Unknown,TPG Real Estate Partners and Taurus Investment Holdings partnership,Unknown,Projected 809 tons CO2 avoided annually,Projected 30% reduction in resident energy costs (geothermal + rooftop solar PV),Takes advantage of Floridian Aquifer. Units powered by solar with EV charging,Unknown,,
California,Santa Rosa,,,Santa Rosa Junior College,5GDHC?,College Campus,4 connected buildings,Operating,Mixed,Not applicable,Not applicable,"4 buildings: Burbank Theatre, Garcia Hall, Analy Hall, Forsyth Hall",Unknown,Unknown,Yes. Electric/gas powered chiller and boiler system,Unknown,"Bailey Field borefield: over 300 boreholes, 400 feet deep",Unknown,,"Private, college owned",Unknown,Measure H bond (2014): $35.3 million split among various sustainability projects,Unknown,Building heating/cooling without fossil fuels,"Annual utility cost savings of $120,000",Exploring connecting Pioneer Hall to Bertolini geothermal field and waste heat from Quinn Central Plant (2022),David Liebman: dliebman@santarosa.edu,,
Vermont,Burlington ,,,Champlain College ,Combined open and closed loop geothermal network. ,College Campus ,"8 buildings, with capacity to expand. Total 229,904 square feet. ","Operating. System began construction 2010, completed 2020. ","Mixed, residential and commercial loads. College welcome and admissions center, student services building, auditorium, and five dormitories. ",N/A ,"2000 (estimated campus size, student body) ",8,Heating/cooling system capacity: 3054.841 MMBtu/hr ,N/A ,"Mix of new construction and retrofit, some halls included in the system existed since before the 1900s. Natural-gas steam distributed heating, unknown for cooling. ",Each building has a GSHP system. Ex. Perry Hall has 37 heat pumps for transfer of energy throughout a building. ,"1 borefield, -- boreholes, 300 foot depth for the open source loop to reach the aquifer. ",Unknown,Unknown,University/College,Unknown,Unknown,N/A ,Unknown,Unknown,N/A ,Sustain Champlain email: sustainchamplain@champlain.edu,1. Vermont Community Thermal Networks Case Study: Champlain College 2.  HEET Networked Geothermal Case Studies  3. Carleton College Presentation: Comparing Geothermal Systems Between Colleges 4.  Champlain College: Geothermal Heating & Cooling ,
Nevada,Elko,,,Elko County School District ,GDH,K-12 School. ,"16 buildings, 348,680 sq ft. ",Unable to find recent confirmation of operation. First well was drilled 1986. ,Public institution ,N/A ,N/A,16,1.07 MMBtu/hr ,N/A ,Yes. ,GSHPs. Plate and frame heat exchanger for space heating. ,"1 geothermal well, drilled 1876 feet. Flow of 300 gpm of 190F water. ",Well side and return loop. ,Hot water or steam boiler. ,Public Institution ,"$1.5M total capital costs $75,000 annual operating cost. ","U.S. DOE: $250,000",Unknown,Unknown,"In 2002: savings realized by the system users were calculated as exceeding $285,000 annually. Noted that as natural gas prices have risen in recent years, those savings have increased. ",There was interest in expanding the network to include serving the heating and cooling needs of a nearby old hosital that had been repurposed as an office building and a few new buildings on the Great Basin College (CBC) campus. ,Elko County School District Staff Contact Website,1. Elko County School District Heating Systems: A Case Study (2004) 2.  U.S. Geothermal District Heating: Barriers and Enablers (2005) ,
